block_time,block_number,from,to,network,token,contract,value,hash
2023-08-27 05:37:21.000 UTC,1.25368969e+08,0x281793ecb66f1f090b518cfa05daa40a6c5b2d8d,0x840e208aa5d3a57bf5860fb16a07996c083260cb,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0x2164a8fff587a34156e8bf0c4bd7f57fe6d0eb750227ad909898cba7387b29e2
2023-08-27 05:37:21.000 UTC,1.25368969e+08,0x281793ecb66f1f090b518cfa05daa40a6c5b2d8d,0x840e208aa5d3a57bf5860fb16a07996c083260cb,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0x2164a8fff587a34156e8bf0c4bd7f57fe6d0eb750227ad909898cba7387b29e2
2023-08-26 01:04:28.000 UTC,1.24996127e+08,0x281793ecb66f1f090b518cfa05daa40a6c5b2d8d,0x597dc4159a4b85c086c3c679a0b6c8fe2836886f,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0x571c0008dba764ff0cad4044da720512dea92ef2325b9fc12d9b9d391bfdae46
2023-08-25 08:55:43.000 UTC,1.24771569e+08,0x281793ecb66f1f090b518cfa05daa40a6c5b2d8d,0x597dc4159a4b85c086c3c679a0b6c8fe2836886f,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0xf8be1956f1abb9e3732791baeafe6b32e0ed76f9faafb50f1af07a6b98fb87f1
2023-08-25 08:55:43.000 UTC,1.24771569e+08,0xcdc8d4437f3ca6454919040b3c834978a3a4dbb1,0x597dc4159a4b85c086c3c679a0b6c8fe2836886f,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0xf8be1956f1abb9e3732791baeafe6b32e0ed76f9faafb50f1af07a6b98fb87f1
2023-08-24 09:54:30.000 UTC,1.2446618e+08,0x281793ecb66f1f090b518cfa05daa40a6c5b2d8d,0xeee072349a531cbd66ba9fd1a6d55197a1fc022b,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0x30fe9c588d9d723e1bc8842a05bcaf7725ba4e63afd1fec4198f5f2e1dc9d31c
2023-08-24 09:54:08.000 UTC,1.24466095e+08,0x85f7380f58eb043f9edbbaa55f1f4ac5a99b268c,0xeee072349a531cbd66ba9fd1a6d55197a1fc022b,Arbitrum,ERC1155,0x6f10a5370dcc90ef77e7ea34742b986509e0018a,0.0,0xceb7e7db658585986b6f940930d89a1404bb4c8057f5140d03d1975d6b450a7b
2023-08-19 14:18:05.000 UTC,1.22947874e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0x0b48612d457159ac60c985fc4cf840e50cbbd253cd21d94fd198a023c42d8786
2023-08-19 14:17:06.000 UTC,1.22947652e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0x770b5e717792c25ed70e11572c8171728c6d6272c5ea310005500563017777c6
2023-08-19 14:15:52.000 UTC,1.22947379e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0x113fdfdc71cea2bdc11c6d702bc964a60b456d2df5b9ffe9d00b3ff05fa31bf0
2023-08-19 14:15:38.000 UTC,1.22947325e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0x0be9f82a02272402ad5db85cb6c40c28c6536a67f15c2f4438d0bdfa7a3d09fb
2023-08-19 14:13:49.000 UTC,1.2294691e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0x70babd4c9d346527fff898aa9748a94a73f5d1a99198e628382d90440d909b32
2023-08-19 14:13:14.000 UTC,1.22946774e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xe4c955b6d0ba19cf6c3acd927754ec22e922a21d799073c1c967b3327bc07bb5
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-08-19 14:12:41.000 UTC,1.22946649e+08,0x76918841298c0eecf0fe9409cdad3000320666ed,0x64f8e38e19c1b6992969dcd5769c149951018af1,Arbitrum,ERC1155,0x990eb28e378659b93a29d46ff41f08dc6316dd98,0.0,0xb517e7e08e1b8553640f48b026f06f889d1c7f691d1d70270c3bf87beb90e124
2023-07-23 00:56:20.000 UTC,1.13966118e+08,0x0557d5aeec6f2dbffdc2a4cdce59ae3286a2e896,0x04e34e0c1009b6d1dc2e3f4b5ff63020bdb07316,Arbitrum,ERC1155,0xebba467ecb6b21239178033189ceae27ca12eadf,0.0,0x23bf4527381d10adff26a4ed3bf429e60a9692c971817b8f3793dabc1bd8beb5
2023-07-18 06:33:07.000 UTC,1.12377784e+08,0xa7574ebd8ffe47323bf7589bb4e07b41ef308105,0x54ec0f31378c8fef5abd9ff0be137f5a1fe765ae,Arbitrum,ERC1155,0xf4f935f4272e6fd9c779cf0036589a63b48d77a7,0.0,0xd12afc6d7c9514d6e52e27976cf49ae3a8374c79fe876e746a026f44d2a0eb8f
2023-07-16 07:11:47.000 UTC,1.1171861e+08,0xc55b034be9b4ab2edac6bc7958a36204083e6175,0xb496a7902d2117fc7acbbd5251e14075a5b23f6c,Arbitrum,ERC1155,0xda52bb340e8f7b582970523c03451e4dde5c6bcd,0.0,0x149c262cd8ab852358fe70f5e4247000c254b6fe7efaf6c4c7b382a9260a89e4
2023-07-12 21:25:08.000 UTC,1.10571612e+08,0x40e7d9dd163ebcd44823f986ee30f7402cb3cf28,0x4cb75146e98562c9d79b31649c6c739e4dcb7cd5,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0xe0597b1f79edaac934adef5aa67e19d537b7e6457af5335f8502750b54e3f215
2023-07-10 00:43:07.000 UTC,1.09608793e+08,0xd0a77ebcaf94bba43b71963b08a2ccdf072ecd5c,0x24792fc748776a3a9ee71aec9ece1c54e491c9af,Arbitrum,ERC1155,0x2f05e799c61b600c65238a9df060caba63db8e78,0.0,0x6b8462021143665576e116a68b9b66774e29128ce14f21189a8d1be4cc9cda8c
2023-07-05 05:47:03.000 UTC,1.08019306e+08,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,0xc4f91cdd498a30f8ed1dea3883cba314a7a2a022,Arbitrum,ERC1155,Bro Kwon`s Booty,0.0,0x92460af66c10c541e9de915cfc4e427b39a261a7071dbf83446c099ba9c36413
2023-07-03 04:58:19.000 UTC,1.07346833e+08,0xfe0cba722eb0ff49e3f99770ddd05b5bcbe0a854,0xe86474f97be2506e8256dd75cb132099e389f520,Arbitrum,ERC1155,0x9f0cc315cae0826005b94462b5400849b3d39d91,0.0,0xd07d93724faed460049f4710c65db06c3297d7ef55fdb6a8dae61f8b1098f170
2023-07-03 04:55:28.000 UTC,1.07346202e+08,0xfe0cba722eb0ff49e3f99770ddd05b5bcbe0a854,0xe86474f97be2506e8256dd75cb132099e389f520,Arbitrum,ERC1155,0x9f0cc315cae0826005b94462b5400849b3d39d91,0.0,0xfc02913205b697b3ad320d85d437799ba865b0a2197b122948357193f03b89ca
2023-07-01 21:37:35.000 UTC,1.06917294e+08,0xd1cac6087222f250c9706672cf838d5040242538,0xc55b034be9b4ab2edac6bc7958a36204083e6175,Arbitrum,ERC1155,0xda52bb340e8f7b582970523c03451e4dde5c6bcd,0.0,0x2d37d81e3b955c9513559c2c23ee2e2cac3284b855d77490e14d8d652559f746
2023-06-30 21:47:39.000 UTC,1.06586365e+08,0x51845fad9e2afbc9f6f07cfd60fdba45df1e3c2d,0x4f942119e6ab0a6e4368e795d1d64291a3ff0da4,Arbitrum,ERC1155,0xc32eb36f886f638fffd836df44c124074cfe3584,0.0,0x6f690963c2128fffecb9d614837de92235916f7da25d0ee13a5727614fea48a7
2023-06-28 12:08:47.000 UTC,1.05769009e+08,0xe7f2004f57892ed3424998f994093e7924bd72c6,0xf16a7407a7d09051eb06b4351a132c67c16299c0,Arbitrum,ERC1155,0xc32eb36f886f638fffd836df44c124074cfe3584,0.0,0x740f41755bf3a1ee57a8c1dae4b4584212f9080134a0b6cc55692949a15135c7
2023-06-21 07:58:42.000 UTC,1.03361375e+08,0xa227b5ef06410639d4985d6be693352b71b8a165,0xfa15b4a718a6b1657fa6563e1e91682da9773782,Arbitrum,ERC1155,0xf3d00a2559d84de7ac093443bcaada5f4ee4165c,0.0,0x134ed30ed403c6328688b5b4e5253176d5af71a84eeca9ea2ac014ada107c38a
2023-06-18 20:03:31.000 UTC,1.02524861e+08,0x40e7d9dd163ebcd44823f986ee30f7402cb3cf28,0xe1ea2a7ff6864aa8555c85b61f506e1f674028ce,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0x47f17cc17bf3078dcd8a50a64ad1593b11b2ee2ed049edadd9c918bb6f6c125c
2023-06-17 11:40:32.000 UTC,1.02075921e+08,0x40e7d9dd163ebcd44823f986ee30f7402cb3cf28,0xa65046ef46c65125398d90c5ab8bbc8c94762f81,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0xa0823daca6e52574c087090a81c59ce6209cce92ec18127f53be08fb3b8d2849
2023-06-14 02:41:55.000 UTC,1.00936784e+08,0x19162d5a7c0c8184044b5bb446a9b41574527e76,0x27568404806f90b3a66e672f99eb8cc1d4369007,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0x329690e5b9b78084179709c70d393922ada80055a2019bac740cf3fee2df2d39
2023-06-10 13:54:01.000 UTC,9.9740418e+07,0x704ea01d11b105b1dfb69a1b329406b93b86e05d,0xabdb1f94bff885bd8933ac4f8aaacda4326491de,Arbitrum,ERC1155,0xebba467ecb6b21239178033189ceae27ca12eadf,0.0,0x675810c2f3eede7f6f937e82b71283eb431100f2f1b0fc69645021e90e57116f
2023-06-06 09:06:48.000 UTC,9.8325384e+07,0x317385af8a14d929a86e6b4448b579c624747769,0xdaf780714ce4931f98129060445fc6eb4ab73bb1,Arbitrum,ERC1155,Bro Kwon`s Booty,0.0,0x97d71b9fdf4f1e73004629554acad40f60c2012f6fbfb99da344356815d48b04
2023-06-03 03:24:03.000 UTC,9.7228661e+07,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,0x4040cdcdfa5543d8441c13cd8e0cb4a85277f34b,Arbitrum,ERC1155,Bro Kwon`s Booty,0.0,0x252160ef4cbd05c2e74f847579090a640100c4a71567394db3b615372fc08e68
2023-06-03 02:18:28.000 UTC,9.7213346e+07,0xd469ce76ca266dc2b84b2782a1879e6e0743492d,0xe1b973ff69dd47b2b3b00bf2159ced7680e37260,Arbitrum,ERC1155,Bro Kwon`s Booty,0.0,0x822a138539bb5976da1c4aa25a71ae1062283d624881912888e5e53ad4301703
2023-06-01 21:24:07.000 UTC,9.680912e+07,0xb7521e177b4c0324cbb022e27b339607e903d593,0x01407772c2368d5752c59978bae92158bb9f2816,Arbitrum,ERC1155,0x04b5112928b7b75ec71ad9909bf0e5bcc427952b,0.0,0x53854bfa06391351a0ebac6aecf546250ed74a05e58e77cff362fb8a74c8050e
2023-05-31 08:34:08.000 UTC,9.6285371e+07,0x1d35f32431c08c4dfe4df95fa439991f72b0a08e,0x38c2f4836ba06bc94db27298f3e831059e58b7c3,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0x08dbec243961b2636e7aa94752d2cec0c1b68c6b4c06557b477b6fafbed64016
2023-05-31 08:34:08.000 UTC,9.6285371e+07,0x1d35f32431c08c4dfe4df95fa439991f72b0a08e,0x38c2f4836ba06bc94db27298f3e831059e58b7c3,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0x08dbec243961b2636e7aa94752d2cec0c1b68c6b4c06557b477b6fafbed64016
2023-05-31 08:34:08.000 UTC,9.6285371e+07,0x1d35f32431c08c4dfe4df95fa439991f72b0a08e,0x38c2f4836ba06bc94db27298f3e831059e58b7c3,Arbitrum,ERC1155,0x33bcaeb9392009b7fe90c73b00fa66bbaa69ad7c,0.0,0x08dbec243961b2636e7aa94752d2cec0c1b68c6b4c06557b477b6fafbed64016
