block_time,block_number,from,to,network,token,contract,value,hash
2023-08-27 16:11:15.000 UTC,3.181664e+06,0xaf9655ed0b27a2143bd4f099f9f2f1cf3c6dcc6f,0xc6510245a3d961746db4883916d2d600e19f4ff3,Base,ERC20,USDbC,420,0xf0f62326bfa1b2cb634e3a10b9e7d8b37996387dc28231b7730ff7fd1d1126eb
2023-08-27 14:39:53.000 UTC,3.178923e+06,0x9da17a5cd4f11cd7af416e801d9c3bebe21adadd,0xf84b938e3b753ce0cd93cdeb1b79a5ad35c2d795,Base,ERC20,WETH,0.0007,0x805d4de5a776494803ece6f8c96c7d58c56a86360e8091393e8b029d4c66b11a
2023-08-27 11:29:29.000 UTC,3.173211e+06,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,0xb627b31b6efb1abe4babab17162291ffe2164e69,Base,ERC20,WETH,0.0014625,0x471cb6db73c7ec898893c0442bf0d3479290917a290779ef12d7262fdd4ce6e8
2023-08-27 10:52:05.000 UTC,3.172089e+06,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,0xb627b31b6efb1abe4babab17162291ffe2164e69,Base,ERC20,WETH,0.0014,0x8faf9ebe8794862c160605229e854ca8f9a2beef25f5f995fb3d92ad485f50fa
2023-08-27 10:47:27.000 UTC,3.17195e+06,0xbb199d81ca62cd7548dcc92d0e1d49417b82d961,0xcce838c994a17ad21f20dbba2fffde3df13b0793,Base,ERC20,USDbC,597.668178,0x0a3b5db69c33aaa2b10f7d4df65c8caf1d69691f7f15573c3c69416931b19def
2023-08-27 10:45:27.000 UTC,3.17189e+06,0xb627b31b6efb1abe4babab17162291ffe2164e69,0x6c80cb87a44b1fccb46d05e57becb8cc720a8539,Base,ERC20,WETH,0.001,0xe3f45c6d527593b0403d5d1c0e41dce3215be58fc8d35259caacd67d973d4bea
2023-08-27 10:35:19.000 UTC,3.171586e+06,0xc756e9b66be1dc7989708b7843344e0ae30a2c07,0x8db98acd0fdcd31330fbc5ab0c7ab18db65cac6f,Base,ERC20,USDbC,602.415958,0x8b0eff0c9abbee86ad0c950246b8b2bd1234423710ed1e3740ea98b1c3b31c64
2023-08-27 10:29:39.000 UTC,3.171416e+06,0xb627b31b6efb1abe4babab17162291ffe2164e69,0x6c80cb87a44b1fccb46d05e57becb8cc720a8539,Base,ERC20,WETH,0.0013,0x520e345c331554a1e1eac080d3cb7673460c100d2a037e5d655a9dec4d2c8612
2023-08-27 10:26:07.000 UTC,3.17131e+06,0xac0b191b78e6a8b07c709b1fe1c50913a80e676c,0x062f7f61b9d0d8950a8bc50b81610d7ea6f93c98,Base,ERC20,USDbC,603.15757,0x6aa8427f5d420e1cc7ac2675e6ca001dc8f77735005abe465c590d5cd9797f5f
2023-08-27 10:12:57.000 UTC,3.170915e+06,0xb627b31b6efb1abe4babab17162291ffe2164e69,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,Base,ERC20,WETH,0.0009,0x8c50f68a41d1ce881f893b2426f09bb7b183267b8a1c7b470b68c83f4dbff3cf
2023-08-27 10:11:29.000 UTC,3.170871e+06,0x8efeab82d4f67c294490e9c8fe0d11f19b37851d,0x60e671d69951be9749d905fa5050f14143bbc159,Base,ERC20,USDbC,604.240048,0xb5cfbbb4419212c5a5f99ea164f29170c25c6bf2cdf47a666391ecb0fcd75bf9
2023-08-27 10:10:11.000 UTC,3.170832e+06,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,0x6c80cb87a44b1fccb46d05e57becb8cc720a8539,Base,ERC20,WETH,0.0008,0xae978d841a9443ba6736056e71182cd51369e0b54f528a71cdb608655bcbbc8c
2023-08-27 10:06:45.000 UTC,3.170729e+06,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,0xb627b31b6efb1abe4babab17162291ffe2164e69,Base,ERC20,WETH,0.0015,0x0c85e7cc84186fd582a4460ae1246e1ec9aef498b9a960dcecadc3cea9b2ea71
2023-08-27 10:03:49.000 UTC,3.170641e+06,0xb627b31b6efb1abe4babab17162291ffe2164e69,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,Base,ERC20,WETH,0.0015,0x9f594b6e46145640dbc47bdddd2c5d56199e17c0afbc0296b50fd3d29a8575a4
2023-08-27 09:49:05.000 UTC,3.170199e+06,0x232eeafdf7c80b55611673e62115cad50b0c7113,0x02b6fb1fc90f028a9b6b00b53e7c47761da0f784,Base,ERC20,USDbC,544.190619,0xd3b366c5af11c4ba7d85cb9d7ec2f70f854dffca52886e71c7e009766acf0b3b
2023-08-27 09:40:35.000 UTC,3.169944e+06,0xf7b3dee7b42f12543c2d7729df43abbaa7ec4cf6,0xc22ddcae8fabfb2c5cf7b38ddf8eef7535ebf839,Base,ERC20,USDbC,545.138996,0x27c05fe6610e09d416d05d218d9afe4192651e5a40f381392c8a9dbb9e03d547
2023-08-27 09:19:31.000 UTC,3.169312e+06,0x6710a1a38295a96084fa64821cf97da4cb29cb4c,0x6c80cb87a44b1fccb46d05e57becb8cc720a8539,Base,ERC20,WETH,0.001,0x7689180f1f6e3de80f9d42b9f91b1b2b57c3cce20281be4e00a758f4027af288
